,place_name,place_category_detail,place_adress,place_running_date,place_page,place_phone,place_tag,place_info
472,조계사 백송,문화유적,서울 종로구 우정국로 55 (우)03144,None,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16,00090000,11&pageNo=1_1_1_0",None,None,none
473,창덕궁 청의정,문화유적,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr,None,None,주차
474,홍제천,하천,서울 종로구 홍지동,None,None,None,#산책로,none
475,태화관길,테마거리,서울 종로구 인사동5길 14 (우)03149,None,None,None,None,none
476,금위영터,유적지,서울 종로구 운니동 98-5,None,None,None,None,none
477,한성부동부관아터,유적지,서울 종로구 인의동 48-26,None,None,None,None,none
478,구공업전습소 본관,문화유적,서울 종로구 대학로 86 (우)03087,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,02790000,11",None,None,none
479,서울도보관광코스 창덕궁~생태코스,도보여행,서울 종로구 와룡동,None,None,None,#걷기좋은,none
480,세계어린이운동발상지 기념비,"탑,비석",서울 종로구 경운동 88-3,None,None,None,None,none
481,전차차고터,문화유적,서울 종로구 종로6가 289-58,None,None,None,None,none
482,의영고터,문화유적,서울 종로구 도렴동 95-1,None,None,None,None,none
483,구기천,하천,서울 종로구 구기동,None,None,None,None,none
484,독립협회 창립총회 터,문화유적,서울 종로구 세종대로 198 (우)03141,None,None,None,None,none
485,혜정교 터,문화유적,서울 종로구 종로1가 1-3,None,None,None,None,none
486,창덕궁 구선원전,문화유적,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/main/main.htm,None,None,주차
487,서울명예도로 박수근길,도보여행,서울 종로구 지봉로 지하 24 (우)03114,None,None,None,#걷기좋은,none
488,창경궁 경춘전,문화유적,서울 종로구 창경궁로 185 (우)03072,None,None,None,None,주차
489,정종수경사 순직비,동상,서울 종로구 청운동 산 1-1,None,None,None,None,none
490,청와대 소정원,"관광,명소",서울 종로구 세종로 1,None,None,None,None,none
491,조양교터,유적지,서울 종로구 율곡로14길 43 (우)03123,None,None,None,None,none
492,협률사원각사터,문화유적,서울 종로구 신문로1가 240,None,None,None,None,none
493,서울지구 병사구사령부 터,문화유적,서울 종로구 청진동 128,None,None,None,None,none
494,창덕궁 애련지,연못,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,None,None,주차
495,조선일보창간사옥터,문화유적,서울 종로구 관철동 268,None,None,None,None,none
496,청송당 바위,바위,서울 종로구 자하문로 136 (우)03047,None,None,None,None,none
497,창덕궁 주합루,문화유적,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,None,None,주차
498,석조여래좌상,"불상,석불",서울 종로구 청와대로 1 (우)03048,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=1&searchCondition=%EB%B0%A9%ED%98%95%EB%8C%80%EC%A2%8C&searchCondition2=&ccbaKdcd=12&ccbaAsno=19770000&ccbaCtcd=11&ccbaCpno=1121119770000&ccbaCndt=&ccbaLcto=&stCcbaAsdt=&endCcbaAsdt=&header=view&returnUrl=%2Fheri%2Fcul%2FculSelectViewList.do&pageNo=1_1_1_0&p=multiSch&sortType=&sortOrd=&sngl=Y&s_kdcdArr=00&s_ctcdArr=00&ccbaPcd1Arr=99&ccbaGcodeArr=00,None,None,none
499,전사청,"사당,제단",서울 종로구 사직로 89 (우)03027,매일 08:00 ~ 16:30,None,None,None,none
500,혜화동김상협가,"생가,고택",서울 종로구 혜화로6길 63 (우)03067,None,None,None,None,none
501,창덕궁 관람정,"고궁,궁",서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/default.jsp,None,None,주차
502,진사식당,문화유적,서울 종로구 성균관로 25-1 (우)03063,None,None,None,#단풍명소 #일출명소,none
